Book_name,Price,Availability,UPC,Genre,Image_URL,Book_URL
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",,In stock (19 available),e72a5dfc7e9267b2,Default,https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
Set Me Free,,In stock (19 available),ce6396b0f23f6ecc,Young Adult,https://books.toscrape.com/media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),,In stock (19 available),3b1c02bac2a429e6,Sequential Art,https://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",,In stock (19 available),deda3e61b9514b83,Music,https://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Rip it Up and Start Again,,In stock (19 available),a34ba96d4081e6a4,Music,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock (19 available),e30f54cea9b38190,Science Fiction,https://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,£37.59,In stock (19 available),a18a4f574854aced,Politics,https://books.toscrape.com/media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,£37.59,In stock (19 available),a22124811bfa8350,Travel,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Olio,,In stock (19 available),feb7cc7701ecf901,Poetry,https://books.toscrape.com/media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,https://books.toscrape.com/catalogue/olio_984/index.html
In Her Wake,,In stock (19 available),23356462d1320d61,Thriller,https://books.toscrape.com/media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Chase Me (Paris Nights #2),,In stock (19 available),c2e46a2ee3b4a322,Romance,https://books.toscrape.com/media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
How Music Works,,In stock (19 available),327f68a59745c102,Music,https://books.toscrape.com/media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",,In stock (19 available),5674a18a29a43ced,Food and Drink,https://books.toscrape.com/media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Birdsong: A Story in Pictures,,In stock (19 available),9528d0948525bf5f,Childrens,https://books.toscrape.com/media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
Black Dust,,In stock (19 available),00bfed9e18bb36f3,Romance,https://books.toscrape.com/media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,https://books.toscrape.com/catalogue/black-dust_976/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,,In stock (19 available),c7d160c2c0de586f,Default,https://books.toscrape.com/media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,,In stock (19 available),904208d6aa64b655,Default,https://books.toscrape.com/media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,,In stock (18 available),4c28def39d850cdf,Nonfiction,https://books.toscrape.com/media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,,In stock (18 available),ccd9ffa25efabdea,Art,https://books.toscrape.com/media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,,In stock (18 available),3c039985229453bf,Nonfiction,https://books.toscrape.com/media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Four Agreements: A Practical Guide to Personal Freedom,,In stock (18 available),6258a1f6a6dcfe50,Spirituality,https://books.toscrape.com/media/cache/2b/1b/2b1bfecae9d512cb6ee943ccf786216f.jpg,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
You can't bury them all: Poems,,In stock (17 available),55f9da0c5eea2e10,Poetry,https://books.toscrape.com/media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Behind Closed Doors,,In stock (18 available),be5cc846f45496fb,Thriller,https://books.toscrape.com/media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
"In a Dark, Dark Wood",,In stock (18 available),19ed25f4641d5efd,Mystery,https://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Maude (1883-1993):She Grew Up with the country,,In stock (18 available),094b269567e1c300,Default,https://books.toscrape.com/media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
The Bear and the Piano,,In stock (18 available),9f6568e9c95f60b0,Childrens,https://books.toscrape.com/media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,,In stock (18 available),6be3beb0793a53e7,Philosophy,https://books.toscrape.com/media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,,In stock (18 available),668fe56b17cfcd4f,Default,https://books.toscrape.com/media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
The Elephant Tree,,In stock (18 available),5dada2b7be26bd03,Thriller,https://books.toscrape.com/media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",,In stock (3 available),1812b8f5641287e3,History,https://books.toscrape.com/media/cache/f5/b7/f5b783f6cfdfe30895d912f9e337bb22.jpg,https://books.toscrape.com/catalogue/house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth_170/index.html
Beyond Good and Evil,,In stock (1 available),08672cd59171d5e4,Philosophy,https://books.toscrape.com/media/cache/d1/7f/d17f326e3fcaf84c37d6d51e3470bcc6.jpg,https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html
So You've Been Publicly Shamed,,In stock (15 available),1b33663ad7b95fd8,Nonfiction,https://books.toscrape.com/media/cache/9d/15/9d150a1d5832bb9e3b82bbc1541912d6.jpg,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html
This Is Your Brain on Music: The Science of a Human Obsession,,In stock (5 available),bc209a900101f28d,Music,https://books.toscrape.com/media/cache/d8/d3/d8d3a16113069ccde25da34483a583fb.jpg,https://books.toscrape.com/catalogue/this-is-your-brain-on-music-the-science-of-a-human-obsession_414/index.html
My Name Is Lucy Barton,,In stock (14 available),727bf2b86b19ad88,Fiction,https://books.toscrape.com/media/cache/28/db/28db43984c765a1d02fd3495f5c52eb6.jpg,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",,In stock (4 available),2ba5ccc84d35006c,Music,https://books.toscrape.com/media/cache/b5/94/b59425287ce6b186715fa7b01054c2bf.jpg,https://books.toscrape.com/catalogue/orchestra-of-exiles-the-story-of-bronislaw-huberman-the-israel-philharmonic-and-the-one-thousand-jews-he-saved-from-nazi-horrors_337/index.html
Shtum,,In stock (14 available),830fb3967c74866d,Fiction,https://books.toscrape.com/media/cache/63/62/63623a0b014b1f26e49aa61786e6e708.jpg,https://books.toscrape.com/catalogue/shtum_733/index.html
No One Here Gets Out Alive,,In stock (4 available),3a95f5a2df4ff921,Music,https://books.toscrape.com/media/cache/8e/9b/8e9be254974e64a8a3d365a1571e3ec2.jpg,https://books.toscrape.com/catalogue/no-one-here-gets-out-alive_336/index.html
My Mrs. Brown,,In stock (14 available),cc82685d9f49bc2c,Fiction,https://books.toscrape.com/media/cache/2d/a3/2da3464fa2010bebedfba9eca77e42be.jpg,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html
Life,,In stock (2 available),637e5a45062aa548,Music,https://books.toscrape.com/media/cache/9b/61/9b6155b8013ed9e05ef8a85b4117165b.jpg,https://books.toscrape.com/catalogue/life_104/index.html
Mr. Mercedes (Bill Hodges Trilogy #1),,In stock (14 available),caa2e5b3fb1b2d4c,Fiction,https://books.toscrape.com/media/cache/65/7f/657f9a3b7c0579c7fa499dddddd59422.jpg,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html
The Natural History of Us (The Fine Art of Pretending #2),,In stock (16 available),cedf82b5086e4691,Young Adult,https://books.toscrape.com/media/cache/da/b8/dab87c14168f3ce18530447ec6437361.jpg,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",,In stock (16 available),142d767a56a9254d,Food and Drink,https://books.toscrape.com/media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,,In stock (16 available),5ee94540d0749ea0,Mystery,https://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Secret of Dreadwillow Carse,,In stock (16 available),b5ea0b5dabed25a8,Childrens,https://books.toscrape.com/media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
The Torch Is Passed: A Harding Family Story,,In stock (16 available),4eed62cf5f8d8edf,Add a comment,https://books.toscrape.com/media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
Thirst,,In stock (16 available),709822d0b5bcb7f4,Fiction,https://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,https://books.toscrape.com/catalogue/thirst_946/index.html
This One Summer,,In stock (16 available),51653ef291ab7ddc,Sequential Art,https://books.toscrape.com/media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Kierkegaard: A Christian Missionary to Christians,,In stock (8 available),0cf57cb49272fd37,Philosophy,https://books.toscrape.com/media/cache/bf/90/bf90ad2c3cab628096db8fca010797b4.jpg,https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html
The Rise and Fall of the Third Reich: A History of Nazi Germany,,In stock (6 available),774fa432bd7d9c47,History,https://books.toscrape.com/media/cache/10/f6/10f6ebfa89b070ba39ad7c4c872c96ea.jpg,https://books.toscrape.com/catalogue/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,,In stock (16 available),bee3672891cca906,Nonfiction,https://books.toscrape.com/media/cache/c5/f2/c5f2361aab546bc7f851cf93aec94ca3.jpg,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
The Story of Hong Gildong,,In stock (1 available),32d035df92ab9080,Classics,https://books.toscrape.com/media/cache/b5/5b/b55be7e5c18b62cef6ebeae404f7f643.jpg,https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html
The Little Prince,,In stock (1 available),1aeca7d078d57deb,Classics,https://books.toscrape.com/media/cache/c0/d6/c0d67625e62981155f5e1f553bda1a94.jpg,https://books.toscrape.com/catalogue/the-little-prince_72/index.html
Sense and Sensibility,,In stock (1 available),35e44170702139a4,Classics,https://books.toscrape.com/media/cache/a8/57/a857deea83c7d4c66e2920e1cf5d8fe0.jpg,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html
Of Mice and Men,,In stock (1 available),39592d9d72e717c4,Classics,https://books.toscrape.com/media/cache/a0/bb/a0bb0881c8ee6f5866804cf0a437853f.jpg,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html
Emma,,In stock (1 available),2e69730561ed70ad,Classics,https://books.toscrape.com/media/cache/ae/98/ae98d08a6f427491dd8eda6b51af41fe.jpg,https://books.toscrape.com/catalogue/emma_17/index.html
Finders Keepers (Bill Hodges Trilogy #2),,In stock (15 available),edb3097e71330040,Fiction,https://books.toscrape.com/media/cache/76/80/76804e1881b630a110794fef5aad02cf.jpg,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html
The Testament of Mary,,In stock (14 available),081305e6df719dff,Fiction,https://books.toscrape.com/media/cache/06/a6/06a62270c0700ae3c537cf394cf145ee.jpg,https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html
The First Hostage (J.B. Collins #2),,In stock (14 available),a86972014275e072,Fiction,https://books.toscrape.com/media/cache/81/3e/813e1d11126330de52d9368e78d116cc.jpg,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html
The Time Keeper,,In stock (14 available),e9906e2f0d189745,Fiction,https://books.toscrape.com/media/cache/37/d1/37d108ff5b19028a52ddd73dba35d543.jpg,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html
Love Is a Mix Tape (Music #1),,In stock (14 available),adb5f51c2e2ab13f,Music,https://books.toscrape.com/media/cache/b2/43/b2430e3958014d962042a14a912151ac.jpg,https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html
Take Me with You,,In stock (14 available),2c04320e110a14a3,Fiction,https://books.toscrape.com/media/cache/bd/ad/bdad8933d15df7d7c6f3a16a9315048b.jpg,https://books.toscrape.com/catalogue/take-me-with-you_741/index.html
The Nameless City (The Nameless City #1),,In stock (16 available),7d385d34d12e60ff,Sequential Art,https://books.toscrape.com/media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),,In stock (16 available),d01ac97e2b8947c2,Fiction,https://books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
Voyager (Outlander #3),,In stock (3 available),7feac4000cbc5859,Historical Fiction,https://books.toscrape.com/media/cache/6e/22/6e22497cbecedef59be86d1328e4b044.jpg,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,,In stock (3 available),3c456328b04a8ee8,Historical Fiction,https://books.toscrape.com/media/cache/15/59/155942710c3ae4bd4ed622df9a999b99.jpg,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
Something Blue (Darcy & Rachel #2),,In stock (3 available),3fc9d51d1c4d6ba7,Womens Fiction,https://books.toscrape.com/media/cache/29/26/2926c885f673e84d7fc46240b1f77eb2.jpg,https://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/index.html
The Last Painting of Sara de Vos,,In stock (3 available),476c7972e9b41891,Historical Fiction,https://books.toscrape.com/media/cache/1c/e4/1ce4c2573d65ebdc3c85d9a6592d57b1.jpg,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
I've Got Your Number,,In stock (3 available),6b32b561dab8036c,Womens Fiction,https://books.toscrape.com/media/cache/3d/40/3d407a69fe55223fb4cfec577a9a8ee2.jpg,https://books.toscrape.com/catalogue/ive-got-your-number_173/index.html
The Guernsey Literary and Potato Peel Pie Society,,In stock (3 available),4a0a276409968a73,Historical Fiction,https://books.toscrape.com/media/cache/98/e3/98e3925e5e6a66acf2cde918fc147205.jpg,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Animal Farm,,In stock (4 available),1451b55e5e56bb89,Classics,https://books.toscrape.com/media/cache/73/b9/73b9d68a89e6d037f1afdc70f96bad09.jpg,https://books.toscrape.com/catalogue/animal-farm_313/index.html
Zealot: The Life and Times of Jesus of Nazareth,,In stock (14 available),dd5bfa6cc2c0ecc3,History,https://books.toscrape.com/media/cache/21/da/21dab5c065cfcde1bad7ded16a753102.jpg,https://books.toscrape.com/catalogue/zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html
Wuthering Heights,,In stock (3 available),5a7ff9aaa3168878,Classics,https://books.toscrape.com/media/cache/d8/64/d8644073d00c000cb60643256080cc4b.jpg,https://books.toscrape.com/catalogue/wuthering-heights_307/index.html
1491: New Revelations of the Americas Before Columbus,,In stock (14 available),6e8e5626ac4d279e,History,https://books.toscrape.com/media/cache/2d/d2/2dd235d80326531092c70e191d630c7d.jpg,https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html
The Picture of Dorian Gray,,In stock (3 available),b9f6305a3d650e2c,Classics,https://books.toscrape.com/media/cache/67/29/67297ff3ae6cb02884c52e5250fe7c1a.jpg,https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html
A Distant Mirror: The Calamitous 14th Century,,In stock (14 available),d5e0526e1ab682a3,History,https://books.toscrape.com/media/cache/d8/0a/d80ac19cd0aef94c5ac257b1eb3c1d37.jpg,https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),,In stock (3 available),cad70d6ffd53912f,Classics,https://books.toscrape.com/media/cache/55/2d/552d55d44dcc0f27e98b3e7dc3959e1a.jpg,https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
Brilliant Beacons: A History of the American Lighthouse,,In stock (8 available),7f5157bf53065d36,History,https://books.toscrape.com/media/cache/ba/59/ba5913de7abe0d9dbe9c8128092a52af.jpg,https://books.toscrape.com/catalogue/brilliant-beacons-a-history-of-the-american-lighthouse_515/index.html
Beowulf,,In stock (3 available),3fb69f34e178d494,Classics,https://books.toscrape.com/media/cache/3d/8c/3d8cd7a42d3e57cb10e02f9ab76bd549.jpg,https://books.toscrape.com/catalogue/beowulf_126/index.html
The Regional Office Is Under Attack!,,In stock (15 available),0651062381f0636a,Fiction,https://books.toscrape.com/media/cache/d4/73/d473f01f077b91ce04e345305a3fa217.jpg,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
Tuesday Nights in 1980,,In stock (15 available),b8736690cf263a3c,Fiction,https://books.toscrape.com/media/cache/a3/ad/a3ade5edecde67449329c1ebb016c049.jpg,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
In the Country We Love: My Family Divided,,In stock (16 available),b136b1b180ca753a,Nonfiction,https://books.toscrape.com/media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
The Vacationers,,In stock (15 available),fd3a622648667296,Fiction,https://books.toscrape.com/media/cache/34/c9/34c988a76c3cd7c04566d3030d8e7331.jpg,https://books.toscrape.com/catalogue/the-vacationers_863/index.html
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",,In stock (8 available),f16c2edb2a603f92,History,https://books.toscrape.com/media/cache/43/f2/43f25e9633b587a4052b517cd7b3b4a9.jpg,https://books.toscrape.com/catalogue/most-blessed-of-the-patriarchs-thomas-jefferson-and-the-empire-of-the-imagination_509/index.html
The Stranger,,In stock (15 available),f5a92cff83897d48,Philosophy,https://books.toscrape.com/media/cache/c8/1a/c81aea97de1daaa0081d96f8564c204c.jpg,https://books.toscrape.com/catalogue/the-stranger_861/index.html
And Then There Were None,,In stock (3 available),cfe350b20d23b02b,Classics,https://books.toscrape.com/media/cache/6f/b0/6fb0c3064656f888125ab577b6a01867.jpg,https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html
Lilac Girls,,In stock (11 available),bade9943ee01b63f,Historical Fiction,https://books.toscrape.com/media/cache/c0/80/c080a1626edf581b780420db13e7b074.jpg,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),,In stock (7 available),24933c712f0bca2f,Historical Fiction,https://books.toscrape.com/media/cache/ed/52/ed52651826bb23d853aead2753c9befc.jpg,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,,In stock (15 available),de3f25248ba0789f,History,https://books.toscrape.com/media/cache/77/79/777988a85de2269905bd8c2070a3cf58.jpg,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
The Metamorphosis,,In stock (5 available),93379e3a2072a01b,Classics,https://books.toscrape.com/media/cache/9b/33/9b33c3c40c8d27054a3edf96cbf6a2fb.jpg,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
The Girl with All the Gifts,,In stock (3 available),92dcc54a27107a37,Horror,https://books.toscrape.com/media/cache/9a/91/9a911066cb404976bcc25dbc8817432a.jpg,https://books.toscrape.com/catalogue/the-girl-with-all-the-gifts_250/index.html
House of Leaves,,In stock (3 available),557c03c284be1bf2,Horror,https://books.toscrape.com/media/cache/20/c2/20c2ff61355569b4f84e2f847e37db25.jpg,https://books.toscrape.com/catalogue/house-of-leaves_169/index.html
The Pilgrim's Progress,,In stock (4 available),6053ddf69c967d5f,Classics,https://books.toscrape.com/media/cache/91/2a/912acfe6ee354d9d9bf3c1fa517c4252.jpg,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
The Hound of the Baskervilles (Sherlock Holmes #5),,In stock (4 available),6587f46697fc4443,Classics,https://books.toscrape.com/media/cache/9d/fe/9dfe2a73c6a1a1c09927c904de641ebf.jpg,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
Little Women (Little Women #1),,In stock (4 available),deda806b68b0aa11,Classics,https://books.toscrape.com/media/cache/55/a9/55a942b0c092c40bdbb6a1f1be340984.jpg,https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",,In stock (16 available),7392c0032f92d816,History,https://books.toscrape.com/media/cache/31/e6/31e6e0a41e62858180b268c27b20a770.jpg,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Gone with the Wind,,In stock (4 available),23310ce84d3c9f85,Classics,https://books.toscrape.com/media/cache/ac/ee/acee20cff19be38cc3efc5e9b50afae4.jpg,https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html
